[2023-10-23 10:16:53,207 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:16:57,127 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:16:57,182 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:16:57,246 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:16:57,308 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:16:57,371 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:16:57,433 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:16:59,272 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:17:03,734 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:17:03,795 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:17:03,845 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:17:03,905 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:17:03,951 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:17:03,996 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:17:04,044 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:17:56,759 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:18:25,376 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:18:26,221 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:19:34,753 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:21:20,732 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:21:21,787 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:21:21,817 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:21:22,596 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:21:22,626 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
[2023-10-23 10:21:22,657 INFO com.nopcommerce.user.Practice_01_MyAccount] - ---------------------- Passed -----------------------
